name,device_role,tenant,manufacturer,model_name,platform,serial,asset_tag,status,site,rack_group,rack_name,position,face,comments
F7-TC2-CCAT-48000-1,Core Switch,,Cisco,ISR4431,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,35,Front,TOP 48 PORT CISCO SWITCH
F7-TC2-CCAT-48000-2,Core Switch,,Cisco,ISR4431,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,34,Front,
F8-IT-UPS-01,PDU,,APC,Smart-UPS C1500,,,,Active,Biltmore Suite 800 Server Room,,F8-IT-Rack,,,
F8-TC1-N2048-2,Distribution Switch,,Dell,N2048,,BBGS0Z1,24637915117,Active,Biltmore Suite 500 Server Room,,TelCo-Rack1,24,Front,
F8-TC-1-N2848-01,Distribution Switch,,Dell,N2048,,114YX42,224 559 619 4,Active,Biltmore Suite 800 Server Room,,TelCo-Rack 1,37,Front,
F8-TC-1-N2848-02,Distribution Switch,,Dell,N2048,,CJYBY42,273 279 097 46,Active,Biltmore Suite 800 Server Room,,TelCo-Rack 1,32,Front,
F8-TC-1-N2848-03,Distribution Switch,,Dell,N2048,,2DYBY42,519 728 933 0,Active,Biltmore Suite 800 Server Room,,TelCo-Rack 1,31,Front,
F8-TC-2-N2848-04,Distribution Switch,,Dell,N2048,,6T1DY42,148 165 434 74,Active,Biltmore Suite 800 Server Room,,TelCo-Rack-2,43,Front,
F8-TC-2-N2848-05,Distribution Switch,,Dell,N2048,,3HYBY42,761 593 637 0,Active,Biltmore Suite 800 Server Room,,TelCo-Rack-2,37,Front,
F8-TC-2-N2848-06,Distribution Switch,,Dell,N2048,,,,Active,Biltmore Suite 800 Server Room,,TelCo-Rack-2,32,Front,
F8-TC-2-N2848-07,Distribution Switch,,Dell,N2048,,3JYBY42,773 686 872 2,Active,Biltmore Suite 800 Server Room,,TelCo-Rack-2,31,Front,
F8-TC-2-UPS-01,PDU,,APC,Smart-UPS C1500,,,,Active,Biltmore Suite 800 Server Room,,TelCo-Rack-2,,,These are SmartUPS C1500
F8-TC-3-N2048-11,Distribution Switch,,Dell,N2048,,FS1DY42,343 471 183 22,Active,Biltmore Suite 800 Server Room,,TelCo-Rack 3,31,Front,
F8-TC-3-N2848-08,Distribution Switch,,Dell,N2048,,9R1DY42,212 259 581 30,Active,Biltmore Suite 800 Server Room,,TelCo-Rack 3,43,Front,
F8-TC-3-N2848-09,Distribution Switch,,Dell,N2048,,DR1DY42,299 935 536 50,Active,Biltmore Suite 800 Server Room,,TelCo-Rack 3,37,Front,
F8-TC-3-N2848-10,Distribution Switch,,Dell,N2048,,DS1DY42,,Active,Biltmore Suite 800 Server Room,,TelCo-Rack 3,32,Front,
FB97GB2,Server,,Dell,R630,,FB97GB2,,Active,NAP Cage 1,,R2-01,,,
FB9BGB2,Server,,Dell,R630,,FB9BGB2,,Active,NAP Cage 1,,R2-01,,,
FBB5GB2,Server,,Dell,R630,,FBB5GB2,,Active,NAP Cage 1,,R2-01,,,
FDHBGB2,Server,,Dell,R630,,FDHBGB2,,Active,NAP Cage 1,,R2-01,,,
fds-185-11,Server,,Super Micro,8x2.5 Inch Bays (1U),,,,Active,Biltmore Suite 500 Server Room,,QA,11,Front,
fdsdemosrv01,Server,,Dell,R620,,DSCX942,DSCX942,Active,NAP Cage 1,,R1-06,15,Front,LOM 10.141.0.128
fds-demosrv02,Server,,Super Micro,10x2.5 Inch Bays (1U),,S15749525805893,S15749525805893,Active,NAP Cage 1,,R1-06,39,Front,
fds-r630-01,Server,,Dell,R630,,FNJ1482,34074421922,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.201
fds-r630-04,Server,,Dell,R620,,4PRXHX1,4PRXHX1,Active,NAP Cage 1,,R1-03,19,Front,LOM 10.141.1.204
fds-r630-06,Server,,Dell,R620,,384Y8Z1,384Y8Z1,Active,NAP Cage 1,,R1-03,17,Front,LOM 10.141.1.206
fds-r630-07,Server,,Dell,R630,,FNGZ382,34070968082,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.207
fds-r630-09,Server,,Dell,R630,,FNH0482,34071016034,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.209
fds-r630-11,Server,,Dell,R630,,FNGX382,34070874770,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.211
fds-r630-12,Server,,Dell,R630,,FNGW382,34070828114,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.212
fds-r630-13,Server,,Dell,R630,,FNHW382,34072507730,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.213
fds-r630-14,Server,,Dell,R630,,FNH5482,FNH5482,Active,NAP Cage 1,,R1-03,34,Front,LOM 10.141.1.214
fds-r630-15,Server,,Dell,R630,,FNH4482,34071202658,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.215
fds-r630-16,Server,,Dell,R630,,FNH3482,34071156002,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.216
fds-r630-17,Server,,Dell,R630,,808VD42,17429158946,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.176
fds-r630-18,Server,,Dell,R630,,8RN1F42,19085542850,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.177
fds-r630-19,Server,,Dell,R630,,8082F42,17427808514,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.178
fds-r630-20,Server,,Dell,R630,,7CBBX52,15982102406,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.179
fds-r630-21,Server,,Dell,R630,,7CB9X52,15982009094,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.180
fds-r630-22,Server,,Dell,R630,,4PN1382,10257465746,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.181
fds-r630-23,Server,,Dell,R620,,CW5NZ12,28065822230,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.182
